line,nct_id,serotype,old_value,old_lower,old_upper,new_value,new_lower,new_upper,other_fields_fixed
1523,NCT00373958,19A,0,0,0,151.94,105.16,219.52,
1529,NCT00373958,7F,0,0,0,9493.77,7339.13,12280.98,
1531,NCT00373958,1,0,0,0,51.83,38.84,69.16,
1533,NCT00373958,5,0,0,0,90.86,67.10,123.02,
1536,NCT00373958,3,0,0,0,120.67,92.38,157.62,
1542,NCT00373958,6A,0,0,0,979.68,783.04,1225.71,
1615,NCT00366899,7F,4.30999999999999960920149533194489777088165283203125,0,0,4.30999999999999960920149533194489777088165283203125,3.94,4.72,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1617,NCT00366899,6A,1.4199999999999999289457264239899814128875732421875,0,0,1.4199999999999999289457264239899814128875732421875,1.21,1.66,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1620,NCT00366899,19A,4.2400000000000002131628207280300557613372802734375,0,0,4.2400000000000002131628207280300557613372802734375,3.85,4.67,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1622,NCT00366899,1,0.0299999999999999988897769753748434595763683319091796875,0,0,0.0299999999999999988897769753748434595763683319091796875,0.03,0.04,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1623,NCT00366899,3,0.070000000000000006661338147750939242541790008544921875,0,0,0.070000000000000006661338147750939242541790008544921875,0.06,0.08,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1624,NCT00366899,5,3.589999999999999857891452847979962825775146484375,0,0,3.589999999999999857891452847979962825775146484375,3.25,3.96,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1625,NCT00366899,6A,6.78000000000000024868995751603506505489349365234375,0,0,6.78000000000000024868995751603506505489349365234375,6.04,7.61,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1626,NCT00366899,7F,0.040000000000000000832667268468867405317723751068115234375,0,0,0.040000000000000000832667268468867405317723751068115234375,0.04,0.05,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1627,NCT00366899,3,1.2199999999999999733546474089962430298328399658203125,0,0,1.2199999999999999733546474089962430298328399658203125,1.09,1.35,outcome_overview_assay;outcome_overview_manufacturer;outcome_overview_dose_description;outcome_overview_schedule;outcome_overview_time_frame_weeks
1707,NCT00366678,7F,0.1000000000000000055511151231257827021181583404541015625,0,0,0.1000000000000000055511151231257827021181583404541015625,0.1,0.1,
1711,NCT00366678,6A,0.40000000000000002220446049250313080847263336181640625,0,0,0.40000000000000002220446049250313080847263336181640625,0.3,0.4,
1723,NCT00366678,6A,0.40000000000000002220446049250313080847263336181640625,0,0,0.40000000000000002220446049250313080847263336181640625,0.3,0.5,
1725,NCT00366678,23F,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.2,0.4,
1726,NCT00366678,14,2.399999999999999911182158029987476766109466552734375,0,0,2.399999999999999911182158029987476766109466552734375,2.1,2.9,
1729,NCT00366678,18C,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.3,0.4,
1731,NCT00366678,23F,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.2,0.3,
1732,NCT00366678,7F,0.1000000000000000055511151231257827021181583404541015625,0,0,0.1000000000000000055511151231257827021181583404541015625,0.0,0.1,
1734,NCT00366678,14,2.399999999999999911182158029987476766109466552734375,0,0,2.399999999999999911182158029987476766109466552734375,2.0,3.0,
1743,NCT00366678,9V,2.29999999999999982236431605997495353221893310546875,0,0,2.29999999999999982236431605997495353221893310546875,2.3,2.8,
1745,NCT00366678,18C,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.3,0.3,
1746,NCT00366678,19F,0.6999999999999999555910790149937383830547332763671875,0,0,0.6999999999999999555910790149937383830547332763671875,0.6,0.9,
1747,NCT00366678,9V,2.29999999999999982236431605997495353221893310546875,0,0,2.29999999999999982236431605997495353221893310546875,2.0,2.6,
1750,NCT00366678,18C,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.3,0.4,
1751,NCT00366678,23F,0.299999999999999988897769753748434595763683319091796875,0,0,0.299999999999999988897769753748434595763683319091796875,0.3,0.4,
1755,NCT00366678,7F,0.1000000000000000055511151231257827021181583404541015625,0,0,0.1000000000000000055511151231257827021181583404541015625,0.0,0.1,
1758,NCT00366678,19F,0.6999999999999999555910790149937383830547332763671875,0,0,0.6999999999999999555910790149937383830547332763671875,0.6,0.7,
1848,NCT00205803,3,0.0899999999999999966693309261245303787291049957275390625,0,0,0.0899999999999999966693309261245303787291049957275390625,0.07,0.11,
1852,NCT00205803,9V,0.429999999999999993338661852249060757458209991455078125,0,0,0.429999999999999993338661852249060757458209991455078125,0.37,0.51,
1856,NCT00205803,3,0.0899999999999999966693309261245303787291049957275390625,0,0,0.0899999999999999966693309261245303787291049957275390625,0.07,0.12,
1883,NCT00205803,9V,0.429999999999999993338661852249060757458209991455078125,0,0,0.429999999999999993338661852249060757458209991455078125,0.37,0.50,
2041,NCT00370396,5,4.0999999999999996447286321199499070644378662109375,0,0,4.0999999999999996447286321199499070644378662109375,3.9,4.4,outcome_overview_id
2058,NCT00370396,5,4.0999999999999996447286321199499070644378662109375,0,0,4.0999999999999996447286321199499070644378662109375,3.9,4.3,outcome_overview_id
2083,NCT00370396,7F,0.0299999999999999988897769753748434595763683319091796875,0,0,0.0299999999999999988897769753748434595763683319091796875,0.03,0.03,outcome_overview_id
2089,NCT00370396,5,0.05000000000000000277555756156289135105907917022705078125,0,0,0.05000000000000000277555756156289135105907917022705078125,0.04,0.05,outcome_overview_id
2115,NCT00370396,5,0.05000000000000000277555756156289135105907917022705078125,0,0,0.05000000000000000277555756156289135105907917022705078125,0.04,0.07,outcome_overview_id
2121,NCT00370396,23F,2830.09999999999990905052982270717620849609375,0,0,2830.09999999999990905052982270717620849609375,2487.2,3220.3,outcome_overview_id
2135,NCT00370396,23F,2828.8000000000001818989403545856475830078125,0,0,2828.8000000000001818989403545856475830078125,2234.3,3581.6,outcome_overview_id
2146,NCT00370396,7F,0.0299999999999999988897769753748434595763683319091796875,0,0,0.0299999999999999988897769753748434595763683319091796875,0.03,0.04,outcome_overview_id
2795,NCT03620162,14,6.57000000000000028421709430404007434844970703125,0,0,6.57000000000000028421709430404007434844970703125,5.73,7.55,
2804,NCT03620162,5,2.899999999999999911182158029987476766109466552734375,0,0,2.899999999999999911182158029987476766109466552734375,2.50,3.35,
2875,NCT03620162,5,2.899999999999999911182158029987476766109466552734375,0,0,2.899999999999999911182158029987476766109466552734375,2.50,3.35,
3137,NCT03512288,10A,0.0299999999999999988897769753748434595763683319091796875,0,0,0.0299999999999999988897769753748434595763683319091796875,0.03,0.03,
3152,NCT03512288,11A,0.01000000000000000020816681711721685132943093776702880859375,0,0,0.01000000000000000020816681711721685132943093776702880859375,0.01,0.01,
3168,NCT03512288,12F,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.02,0.02,
3170,NCT03512288,11A,0.01000000000000000020816681711721685132943093776702880859375,0,0,0.01000000000000000020816681711721685132943093776702880859375,0.01,0.02,
3176,NCT03512288,10A,0.0299999999999999988897769753748434595763683319091796875,0,0,0.0299999999999999988897769753748434595763683319091796875,0.03,0.04,
3198,NCT03512288,12F,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.02,0.03,
3502,NCT04384107,33F,0,0,0,19899.34,14204.44,27877.46,
3775,NCT00345358,14,2.29999999999999982236431605997495353221893310546875,0,0,2.29999999999999982236431605997495353221893310546875,1.95,2.72,
4450,NCT04382326,11A,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.01,0.02,
4586,NCT04382326,11A,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.02,0.02,
4662,NCT04546425,22F,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.01,0.06,
4668,NCT04546425,12F,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.01,0.04,
4685,NCT04546425,11A,0.0200000000000000004163336342344337026588618755340576171875,0,0,0.0200000000000000004163336342344337026588618755340576171875,0.01,0.02,
4785,NCT01616459,3,0.070000000000000006661338147750939242541790008544921875,0,0,0.070000000000000006661338147750939242541790008544921875,0.06,0.09,
